,,3782,395712,,,86778,100,308,2399992,91,37.32,,15.09,,1373.19,3396.12,4041.31,123.58,,,,-2022.93,
2451175,51245,92113,395712,1591683,6054,86778,100,433,2399992,44,42.16,44.26,30.09,0.00,1323.96,1855.04,1947.44,26.47,0.00,1323.96,1350.43,-531.08,
2451127,34531,25468,459865,707064,2710,57909,100,328,2399993,72,68.55,99.39,58.64,0.00,4222.08,4935.60,7156.08,295.54,0.00,4222.08,4517.62,-713.52,
2451127,34531,87823,459865,707064,2710,57909,100,229,2399993,56,37.55,48.43,32.44,0.00,1816.64,2102.80,2712.08,0.00,0.00,1816.64,1816.64,-286.16,
2451127,34531,320,459865,707064,2710,57909,100,383,2399993,4,27.98,33.01,0.33,0.50,1.32,111.92,132.04,0.01,0.50,0.82,0.83,-111.10,
2451127,34531,49280,459865,707064,2710,57909,100,425,2399993,16,67.46,112.65,23.65,0.00,378.40,1079.36,1802.40,7.56,0.00,378.40,385.96,-700.96,
2451127,34531,62212,459865,707064,2710,57909,100,63,2399993,82,48.83,59.57,43.48,0.00,3565.36,4004.06,4884.74,106.96,0.00,3565.36,3672.32,-438.70,
2451127,34531,45280,459865,707064,2710,57909,100,57,2399993,84,75.81,96.27,93.38,0.00,7843.92,6368.04,8086.68,392.19,0.00,7843.92,8236.11,1475.88,
2451127,34531,62839,459865,707064,2710,57909,100,23,2399993,69,19.91,22.49,13.49,158.23,930.81,1373.79,1551.81,38.62,158.23,772.58,811.20,-601.21,
2451127,34531,56104,459865,707064,2710,57909,100,416,2399993,90,11.28,21.54,9.69,0.00,872.10,1015.20,1938.60,26.16,0.00,872.10,898.26,-143.10,
2451127,34531,85376,459865,707064,2710,57909,100,324,2399993,73,51.23,57.88,57.30,0.00,4182.90,3739.79,4225.24,292.80,0.00,4182.90,4475.70,443.11,
2451127,34531,47212,459865,,2710,,,,2399993,45,,32.48,,289.37,,943.20,,24.75,289.37,353.68,378.43,-589.52,
2451127,34531,82124,459865,707064,2710,57909,100,374,2399993,71,82.30,120.15,20.42,0.00,1449.82,5843.30,8530.65,57.99,0.00,1449.82,1507.81,-4393.48,
2451127,34531,59176,459865,707064,2710,57909,100,414,2399993,74,93.28,158.57,106.24,0.00,7861.76,6902.72,11734.18,471.70,0.00,7861.76,8333.46,959.04,
2451127,,8347,459865,,,57909,100,114,2399993,,98.40,,98.40,0.00,5510.40,,7548.80,,0.00,,,0.00,
,,47863,,707064,,,,,2399993,,,129.35,109.94,,8135.56,5630.66,9571.90,,,,,2504.90,
2451127,34531,9847,459865,707064,2710,57909,100,133,2399993,38,99.18,134.88,98.46,0.00,3741.48,3768.84,5125.44,299.31,0.00,3741.48,4040.79,-27.36,
2451118,35422,3938,354785,891424,1663,94749,40,486,2399994,19,83.95,132.64,110.09,460.17,2091.71,1595.05,2520.16,146.83,460.17,1631.54,1778.37,36.49,
2451118,35422,12830,354785,891424,1663,94749,40,319,2399994,14,58.98,86.70,53.75,0.00,752.50,825.72,1213.80,60.20,0.00,752.50,812.70,-73.22,
2451118,35422,18961,354785,891424,1663,94749,40,70,2399994,50,65.48,67.44,58.67,792.04,2933.50,3274.00,3372.00,128.48,792.04,2141.46,2269.94,-1132.54,
2451118,35422,3880,354785,891424,1663,94749,40,25,2399994,57,69.70,134.52,129.13,0.00,7360.41,3972.90,7667.64,441.62,0.00,7360.41,7802.03,3387.51,
2451118,35422,54817,354785,891424,1663,94749,40,129,2399994,8,94.11,122.34,2.44,0.00,19.52,752.88,978.72,0.00,0.00,19.52,19.52,-733.36,
2451118,35422,95906,354785,891424,1663,94749,40,106,2399994,19,17.95,31.95,27.15,0.00,515.85,341.05,607.05,30.95,0.00,515.85,546.80,174.80,
2451118,35422,29692,354785,891424,1663,94749,40,239,2399994,57,22.03,38.11,33.91,0.00,1932.87,1255.71,2172.27,154.62,0.00,1932.87,2087.49,677.16,
2451118,35422,6268,354785,891424,1663,94749,40,453,2399994,29,61.52,113.81,113.81,0.00,3300.49,1784.08,3300.49,0.00,0.00,3300.49,3300.49,1516.41,
2452268,69917,15999,308389,316954,6319,228884,8,49,2399995,64,34.64,42.95,19.32,49.45,1236.48,2216.96,2748.80,94.96,49.45,1187.03,1281.99,-1029.93,
2452268,69917,88857,308389,316954,6319,228884,8,295,2399995,28,75.72,81.02,51.85,0.00,1451.80,2120.16,2268.56,0.00,0.00,1451.80,1451.80,-668.36,
2452268,69917,58217,308389,316954,6319,228884,8,202,2399995,43,75.78,140.95,5.63,0.00,242.09,3258.54,6060.85,9.68,0.00,242.09,251.77,-3016.45,
2452268,69917,34809,308389,316954,6319,228884,8,4,2399995,66,,121.68,,,4898.52,4537.50,,38.20,,,,,
2452268,69917,33573,308389,316954,6319,228884,8,471,2399995,45,10.81,21.62,12.32,0.00,554.40,486.45,972.90,44.35,0.00,554.40,598.75,67.95,
2452268,69917,56643,308389,316954,6319,228884,8,125,2399995,75,80.16,149.89,145.39,0.00,10904.25,6012.00,11241.75,109.04,0.00,10904.25,11013.29,4892.25,
2452268,69917,76681,308389,316954,6319,228884,8,87,2399995,7,1.43,2.57,0.84,0.00,5.88,10.01,17.99,0.17,0.00,5.88,6.05,-4.13,
2452268,69917,61573,308389,316954,6319,228884,8,490,2399995,95,99.11,126.86,100.21,0.00,9519.95,9415.45,12051.70,761.59,0.00,9519.95,10281.54,104.50,
2452268,69917,59159,308389,316954,6319,228884,8,301,2399995,4,50.07,78.60,62.88,0.00,251.52,200.28,314.40,15.09,0.00,251.52,266.61,51.24,
2452268,69917,11419,308389,316954,6319,228884,8,475,2399995,26,20.00,22.60,19.88,0.00,516.88,520.00,587.60,20.67,0.00,516.88,537.55,-3.12,
2451093,48439,67456,105743,669459,3928,167244,91,192,2399996,8,61.69,108.57,47.77,290.44,382.16,493.52,868.56,7.33,290.44,91.72,99.05,-401.80,
2451093,48439,1220,105743,669459,3928,167244,91,101,2399996,46,32.14,33.10,0.00,0.00,0.00,1478.44,1522.60,0.00,0.00,0.00,0.00,-1478.44,
2451093,48439,76726,105743,669459,3928,167244,91,360,2399996,34,74.44,82.62,69.40,1816.89,2359.60,2530.96,2809.08,48.84,1816.89,542.71,591.55,-1988.25,
2451093,48439,84026,105743,669459,3928,167244,91,291,2399996,98,10.80,17.06,3.92,0.00,384.16,1058.40,1671.88,0.00,0.00,384.16,384.16,-674.24,
2451093,48439,24088,105743,669459,3928,167244,91,287,2399996,32,93.23,138.91,101.40,0.00,3244.80,2983.36,4445.12,32.44,0.00,3244.80,3277.24,261.44,
2451093,48439,83678,105743,669459,3928,167244,91,58,2399996,57,51.19,101.86,73.33,0.00,4179.81,2917.83,5806.02,250.78,0.00,4179.81,4430.59,1261.98,
2451093,48439,79234,105743,669459,3928,167244,91,287,2399996,29,35.21,44.01,36.52,0.00,1059.08,1021.09,1276.29,74.13,0.00,1059.08,1133.21,37.99,
2451093,48439,55141,105743,669459,3928,167244,91,448,2399996,79,52.32,103.07,68.02,0.00,5373.58,4133.28,8142.53,322.41,0.00,5373.58,5695.99,1240.30,
2451093,48439,26821,105743,669459,3928,167244,91,43,2399996,17,60.88,101.66,3.04,0.00,51.68,1034.96,1728.22,3.61,0.00,51.68,55.29,-983.28,
2451093,48439,51230,105743,669459,3928,167244,91,416,2399996,61,54.44,101.25,39.48,0.00,2408.28,3320.84,6176.25,192.66,0.00,2408.28,2600.94,-912.56,
